hello people outside the world my name is Carolyn I want to say that my 
lover left me in April. During one long month I have contacted many casters 
and bought almost ten spells without results. My ex wouldn’t contact me, 
wouldn’t answer my calls and emails. But I never lost hope because I knew 
we were soul mates. Dr.ancient cast the most wonderful spell for me 2 weeks 
ago and everything has changed since then. We are close to each other again 
and he is calling me many times everyday. Thank you Dr.ancient of 
ancientbeninshrine@gmail.com your help is very appreciated! I will keep in 







 just helping.",comedy
394,2181,"Marnie Edgar is a habitual liar and a thief who gets jobs as a secretary and after a few months robs the firms in question, usually of several thousand dollars. When she gets a job at Rutland's, she also catches the eye of the handsome owner, Mark Rutland. He prevents her from stealing and running off, as is her usual pattern, but also forces her to marry him. Their honeymoon is a disaster and she cannot stand to have a man touch her and on their return home, Mark has a private detective look into her past. When he has the details of what happened in her childhood to make her what she is, he arranges a confrontation with her mother realizing that reliving the terrible events that occurred in her childhood and bringing out those repressed memories is the only way to save her.",romance
395,2193,"A baby girl is discovered in a river by Ranon and Mims, the children of Willow Ufgood, a dwarf farmer and magician and the baby girl is taken into the care of Willow's family. But when a terrifying dog-like creature attacks Willow's village, whilst tracking down the baby. Willow consults the village council and the wizard The High Aldwin. The High Aldwin gives Willow a task and Willow leaves the village and embarks on the task to give the baby girl to a responsible person. But Willow soon learns the baby is Elora Danan, the baby girl destined to bring about the downfall of the evil sorceress Queen Bavmorda. Joined by his allies: swordsman Madmartigan, sorceress Fin Raziel and the Brownies Franjean and Rool, Willow takes it upon himself to protect Elora from Queen Bavmorda, who intends to kill Elora and prevent Elora from fulfilling her destiny. And Willow and his allies are pursued by Queen Bavmorda's daughter Sorsha and the evil commander of Queen Bavmorda's army General Kael, whom are searching for Elora and bring her back to Queen Bavmorda's castle, where Queen Bavmorda bids to kill Elora in a ritual and prevent the prophecy of her downfall.",fantasy
396,2195,"Mitch and Sam have to come up with $50,000 and fast! The only problem is neither one can hold down a job. Mitch finds a way to money by exploiting the only talents the two have, by opening a ""Revenge For Hire"" business.",comedy
397,2209,Man on the run from a murder charge enlists a beautiful stranger who must put herself at risk for his cause.,comedy
398,2248,High school senior Lloyd Dobler wants nothing more than to go out with beautiful and intelligent Diane Court. Lloyd attempts to win her heart over the objections of her over-protective father before Diane leaves for a scholarship in England.,comedy
399,2264,A couple of escaped convicts on the run find refuge with the Church when they are mistaken for two priests. The two are keen to flee but are unable to do so without the help of Molly.,comedy
400,2273,Two cops team up to get back a kidnapped daughter.,comedy
401,2278,"Ronin is the Japanese word used for Samurai without a master. In this case, the Ronin are outcast specialists of every kind, whose services are available to everyone - for money. Dierdre (undoubtedly from Ireland) hires several Ronin to form a team in order to retrieve an important suitcase from a man who is about to sell it to the Russians. After the mission has been completed successfully, the suitcase immediately gets switched by a member of the team who seems to work into his own pocket. The complex net of everyone tricking everyone begins to surface slowly, and deadly...",action
402,2287,"In the New Mexico desert, Police Sgt. Ben Peterson and his partner find a child wandering in the desert and sooner they discover that giant ants are attacking the locals. FBI agent Robert Graham teams up with Ben and with the support of Dr. Harold Medford and his daughter Dr. Patricia 'Pat' Medford, they destroy the colony of ants in the middle of the desert. Dr. Harold Medford explains that the atomic testing in 1945 developed the dangerous mutant ants. But they also discover that two queen ants have flown away to Los Angeles and they are starting a huge colony in the underground of the city. When a mother reports that her two children are missing, the team and the army have a lead to follow. Will they arrive in time to save the children and destroy the colony?",sci-fi
403,2288,"It's the first week of winter in 1982. An American Research Base is greeted by an alien force, that can assimilate anything it touches. It's up to the members to stay alive, and be sure of who is human, and who has become one of the Things.",sci-fi
